,t,side,price,qty
0,0.0,ask,5257.6,4.0
1,1.0,bid,5255.900000000001,16.0
2,2.0,bid,5254.1,3.0
3,2.0,bid,5254.400000000001,21.0
4,3.0,ask,5250.400000000001,1.0
5,4.0,bid,5247.0,6.0
6,5.0,bid,5264.200000000001,13.0
7,5.0,bid,5264.400000000001,6.0
8,5.0,bid,5264.6,10.0
9,6.0,bid,5254.0,18.0
10,7.0,bid,5248.3,19.0
11,8.0,bid,5242.900000000001,8.0
12,8.0,bid,5243.1,5.0
13,9.0,bid,5255.9,12.0
14,9.0,bid,5256.0,20.0
15,10.0,bid,5260.6,2.0
16,11.0,ask,5264.1,3.0
17,12.0,bid,5262.900000000001,5.0
18,12.0,bid,5263.200000000001,18.0
19,13.0,bid,5268.1,3.0
20,13.0,bid,5268.400000000001,6.0
21,14.0,bid,5272.700000000001,16.0
22,14.0,bid,5272.900000000001,9.0
23,15.0,ask,5272.8,4.0
24,16.0,bid,5254.7,1.0
25,16.0,bid,5255.0,9.0
26,16.0,bid,5255.3,14.0
27,17.0,ask,5270.400000000001,4.0
28,17.0,ask,5270.700000000001,2.0
29,18.0,bid,5279.1,8.0
30,18.0,bid,5279.3,24.0
31,19.0,bid,5277.700000000001,8.0
32,19.0,bid,5277.900000000001,14.0
33,20.0,bid,5278.300000000001,2.0
34,20.0,bid,5278.6,22.0
35,20.0,bid,5278.700000000001,30.0
36,21.0,bid,5280.400000000001,19.0
37,21.0,bid,5280.6,14.0
38,21.0,bid,5280.8,21.0
39,22.0,ask,5283.200000000001,4.0
40,22.0,ask,5283.500000000001,8.0
41,23.0,bid,5282.6,12.0
42,24.0,ask,5275.8,5.0
43,24.0,ask,5276.0,5.0
44,24.0,ask,5276.3,1.0
45,25.0,bid,5275.2,6.0
46,25.0,bid,5275.5,4.0
47,25.0,bid,5275.8,4.0
48,26.0,bid,5280.200000000001,1.0
49,27.0,ask,5272.0,20.0
50,27.0,ask,5272.3,10.0
51,28.0,ask,5278.5,8.0
52,29.0,ask,5259.8,4.0
53,29.0,ask,5260.1,7.0
