,t,side,price,qty
0,0.0,ask,3368.7000000000003,1.0
1,1.0,bid,3363.2000000000003,1.0
2,1.0,bid,3363.6000000000004,5.0
3,1.0,bid,3363.7000000000003,7.0
4,2.0,ask,3367.2000000000003,5.0
5,2.0,ask,3367.4,1.0
6,3.0,bid,3373.2,3.0
7,3.0,bid,3373.5,11.0
8,4.0,ask,3362.2000000000003,1.0
9,5.0,bid,3360.5,5.0
10,6.0,bid,3362.4,2.0
11,7.0,bid,3383.5000000000005,2.0
12,7.0,bid,3384.0000000000005,4.0
13,7.0,bid,3384.1000000000004,4.0
14,8.0,ask,3398.6000000000004,8.0
15,8.0,ask,3398.9000000000005,1.0
16,9.0,ask,3394.7000000000003,22.0
17,10.0,ask,3382.9,4.0
18,10.0,ask,3383.0,11.0
19,11.0,bid,3425.4,3.0
20,11.0,bid,3425.5000000000005,5.0
21,11.0,bid,3425.7000000000003,4.0
22,12.0,bid,3422.0,3.0
23,13.0,ask,3421.1000000000004,15.0
24,14.0,ask,3416.4,15.0
25,15.0,ask,3411.0,14.0
26,15.0,ask,3411.1,4.0
27,15.0,ask,3411.2,11.0
28,16.0,ask,3393.1000000000004,4.0
29,16.0,ask,3393.2000000000003,23.0
30,17.0,ask,3396.6000000000004,11.0
31,17.0,ask,3396.9000000000005,12.0
32,18.0,ask,3394.1000000000004,1.0
33,19.0,ask,3393.1000000000004,11.0
34,19.0,ask,3393.4000000000005,2.0
35,20.0,ask,3396.4,10.0
36,21.0,bid,3399.0,1.0
37,22.0,bid,3366.1,3.0
38,22.0,bid,3366.2000000000003,4.0
39,22.0,bid,3366.4,7.0
40,23.0,bid,3385.9,17.0
41,24.0,bid,3383.0,2.0
42,25.0,bid,3383.7000000000003,1.0
43,26.0,bid,3350.1000000000004,4.0
44,26.0,bid,3350.3,6.0
45,26.0,bid,3350.6000000000004,10.0
46,27.0,ask,3356.0,14.0
47,27.0,ask,3356.1,6.0
48,27.0,ask,3356.4,3.0
49,28.0,bid,3363.6000000000004,7.0
50,29.0,ask,3366.4,9.0
51,29.0,ask,3366.5,3.0
52,30.0,ask,3346.8,1.0
53,31.0,bid,3306.6000000000004,1.0
54,32.0,ask,3316.5,4.0
55,32.0,ask,3316.8,2.0
56,33.0,ask,3316.1000000000004,7.0
57,34.0,ask,3282.3,4.0
58,34.0,ask,3282.4,14.0
59,35.0,ask,3289.4,1.0
60,36.0,bid,3313.6000000000004,11.0
61,37.0,bid,3266.8,1.0
62,37.0,bid,3267.0000000000005,7.0
63,37.0,bid,3267.1000000000004,4.0
64,38.0,ask,3280.3,4.0
65,39.0,ask,3309.8,6.0
66,39.0,ask,3310.1000000000004,5.0
67,39.0,ask,3310.3,6.0
68,40.0,bid,3301.5,10.0
69,41.0,bid,3301.2000000000003,1.0
70,42.0,ask,3308.9,20.0
71,42.0,ask,3309.2000000000003,14.0
72,42.0,ask,3309.4,4.0
73,43.0,ask,3331.6000000000004,6.0
74,44.0,bid,3326.8,4.0
75,44.0,bid,3326.9000000000005,11.0
76,44.0,bid,3327.1000000000004,13.0
77,45.0,ask,3325.7000000000003,11.0
78,45.0,ask,3326.0000000000005,7.0
79,45.0,ask,3326.2000000000003,4.0
80,46.0,ask,3311.6000000000004,16.0
81,46.0,ask,3311.9000000000005,28.0
82,46.0,ask,3312.1000000000004,21.0
83,47.0,ask,3263.6000000000004,7.0
84,47.0,ask,3263.8,13.0
85,47.0,ask,3263.9000000000005,4.0
86,48.0,ask,3204.3,1.0
87,49.0,bid,3247.2000000000003,4.0
88,49.0,bid,3247.6000000000004,5.0
89,49.0,bid,3247.8,11.0
90,50.0,bid,3233.3,47.0
91,51.0,bid,3046.8,9.0
92,51.0,bid,3047.0,4.0
93,52.0,bid,3172.9,10.0
94,52.0,bid,3173.2000000000003,18.0
95,52.0,bid,3173.3,9.0
96,53.0,bid,3136.9,3.0
97,54.0,bid,3155.0,10.0
98,54.0,bid,3155.3,12.0
99,55.0,bid,3152.1,1.0
100,55.0,bid,3152.4,12.0
101,56.0,bid,3131.7000000000003,10.0
102,56.0,bid,3132.0000000000005,14.0
103,56.0,bid,3132.1000000000004,27.0
104,57.0,bid,3171.6000000000004,4.0
105,57.0,bid,3171.8,9.0
106,58.0,bid,3130.8,9.0
107,59.0,ask,3080.4,2.0
108,60.0,ask,3077.8,5.0
109,60.0,ask,3078.0,10.0
110,60.0,ask,3078.1000000000004,9.0
111,61.0,ask,3154.9,5.0
112,62.0,bid,3154.4,2.0
113,62.0,bid,3154.6000000000004,10.0
114,62.0,bid,3154.8,9.0
115,63.0,bid,3207.4,11.0
116,64.0,ask,3206.3,4.0
117,64.0,ask,3206.4,4.0
118,64.0,ask,3206.7000000000003,13.0
119,65.0,ask,3189.5,6.0
