,bid_px1,bid_sz1,ask_px1,ask_sz1,bid_px2,bid_sz2,ask_px2,ask_sz2,bid_px3,bid_sz3,ask_px3,ask_sz3
0,1646.9,8,1647.3000000000002,6,1646.8000000000002,4,1647.4,4,1646.5,5,1647.7000000000003,4
1,1644.4,9,1644.7,5,1644.1000000000001,5,1645.0,4,1644.0,9,1645.1000000000001,5
2,1643.1000000000001,4,1643.5,11,1642.8000000000002,5,1643.8,44,1642.9,4,1643.7,8
3,1643.2,4,1643.6000000000001,5,1643.0,4,1643.8000000000002,5,1642.7,4,1644.1000000000001,9
4,1645.8000000000002,4,1646.2,30,1645.7000000000003,4,1646.3,4,1645.6000000000001,4,1646.4,16
5,1646.5,4,1646.9,16,1646.3,4,1647.1000000000001,6,1646.3,5,1647.1000000000001,36
6,1645.4,6,1645.8000000000002,22,1645.3000000000002,4,1645.9,10,1645.1000000000001,4,1646.1000000000001,12
7,1643.0,4,1643.4,8,1642.7,4,1643.7,11,1642.4,4,1644.0,9
8,1642.8000000000002,4,1643.1000000000001,12,1642.7000000000003,4,1643.2,10,1642.3000000000002,4,1643.6000000000001,18
9,1641.7,8,1642.1000000000001,11,1641.6000000000001,9,1642.2,12,1641.3,9,1642.5000000000002,12
10,1642.1000000000001,4,1642.4,4,1641.8000000000002,16,1642.7,10,1641.9,6,1642.6000000000001,4
11,1643.1000000000001,4,1643.5,6,1643.0000000000002,4,1643.6,4,1642.9,7,1643.7,11
12,1644.0,4,1644.4,7,1643.9,5,1644.5,10,1643.7,4,1644.7,7
13,1642.8000000000002,4,1643.1000000000001,4,1642.5000000000002,6,1643.4,21,1642.5000000000002,4,1643.4,6
14,1641.2,10,1641.6000000000001,15,1641.1000000000001,8,1641.7,12,1640.7,4,1642.1000000000001,5
15,1648.4,13,1648.7,7,1648.3000000000002,7,1648.8,4,1648.0,8,1649.1000000000001,4
16,1656.7,20,1657.1000000000001,11,1656.6000000000001,4,1657.2,4,1656.5,4,1657.3000000000002,4
17,1654.6000000000001,5,1655.0,4,1654.3000000000002,16,1655.3,4,1654.1000000000001,21,1655.5,4
18,1653.1000000000001,12,1653.5,4,1653.0000000000002,34,1653.6,4,1652.8000000000002,19,1653.8,4
19,1655.9,30,1656.2,4,1655.8000000000002,10,1656.3,4,1655.6000000000001,4,1656.5,4
20,1665.4,9,1665.8000000000002,4,1665.3000000000002,11,1665.9,4,1665.1000000000001,14,1666.1000000000001,4
21,1662.5,14,1662.9,4,1662.2,26,1663.2,4,1662.1,10,1663.3000000000002,4
22,1657.0,8,1657.4,4,1656.9,13,1657.5,6,1656.7,8,1657.7,4
23,1657.5,27,1657.9,4,1657.2,5,1658.2,4,1656.9,6,1658.5,4
24,1661.0,22,1661.3000000000002,4,1660.9,13,1661.4,4,1660.4,36,1661.9,4
25,1662.8000000000002,21,1663.1000000000001,4,1662.7000000000003,48,1663.2,4,1662.5000000000002,11,1663.4,4
26,1656.5,17,1656.8000000000002,4,1656.3,17,1657.0000000000002,4,1656.1,6,1657.2000000000003,4
27,1653.5,11,1653.8000000000002,4,1653.3,5,1654.0000000000002,4,1653.0,11,1654.3000000000002,4
28,1651.0,11,1651.4,4,1650.9,12,1651.5,4,1650.8,9,1651.6000000000001,4
29,1652.6000000000001,4,1652.9,4,1652.4,8,1653.1000000000001,4,1652.1000000000001,11,1653.4,4
30,1655.6000000000001,8,1655.9,4,1655.4,6,1656.1000000000001,4,1655.1000000000001,23,1656.4,10
31,1654.3000000000002,5,1654.6000000000001,4,1654.2000000000003,11,1654.7,4,1654.1000000000001,5,1654.8000000000002,4
32,1652.5,23,1652.8000000000002,4,1652.2,6,1653.1000000000001,4,1652.1,7,1653.2000000000003,4
33,1652.8000000000002,8,1653.1000000000001,4,1652.5000000000002,18,1653.4,4,1652.4,9,1653.5000000000002,4
34,1653.9,22,1654.3000000000002,4,1653.6000000000001,8,1654.6000000000001,4,1653.4,8,1654.8000000000002,4
35,1655.0,4,1655.4,4,1654.7,13,1655.7,4,1654.5,4,1655.9,4
36,1656.0,30,1656.4,13,1655.8,9,1656.6000000000001,4,1655.5,11,1656.9,5
37,1659.5,10,1659.9,4,1659.4,27,1660.0,4,1659.1,25,1660.3000000000002,4
38,1661.5,31,1661.8000000000002,4,1661.2,16,1662.1000000000001,4,1661.2,6,1662.1000000000001,4
39,1663.7,8,1664.0,7,1663.6000000000001,12,1664.1,10,1663.3,5,1664.4,5
40,1661.4,5,1661.8000000000002,6,1661.3000000000002,16,1661.9,19,1661.0,17,1662.2000000000003,19
41,1661.9,6,1662.3000000000002,5,1661.6000000000001,4,1662.6000000000001,4,1661.5,12,1662.7000000000003,9
42,1661.5,12,1661.8000000000002,6,1661.3,13,1662.0000000000002,6,1661.1,33,1662.2000000000003,16
43,1660.7,8,1661.1000000000001,4,1660.6000000000001,9,1661.2,4,1660.5,18,1661.3000000000002,4
44,1656.6000000000001,9,1657.0,4,1656.3000000000002,11,1657.3,4,1656.2,15,1657.4,4
45,1658.0,24,1658.4,4,1657.9,6,1658.5,4,1657.5,6,1658.9,4
46,1660.1000000000001,6,1660.5,4,1660.0000000000002,5,1660.6,4,1659.6000000000001,5,1661.0,4
47,1676.8000000000002,10,1677.2,35,1676.7000000000003,6,1677.3,19,1676.5000000000002,4,1677.5,8
48,1674.6000000000001,7,1674.9,11,1674.5000000000002,7,1675.0,10,1674.1000000000001,5,1675.4,7
49,1673.3000000000002,12,1673.6000000000001,20,1673.0000000000002,23,1673.9,38,1673.0000000000002,4,1673.9,7
50,1670.9,7,1671.3000000000002,6,1670.7,4,1671.5000000000002,4,1670.4,4,1671.8000000000002,4
51,1682.1000000000001,5,1682.4,4,1682.0000000000002,17,1682.5,10,1681.8000000000002,11,1682.7,6
52,1680.6000000000001,9,1680.9,6,1680.5000000000002,21,1681.0,14,1680.0000000000002,4,1681.5,4
53,1681.6000000000001,4,1681.9,7,1681.5000000000002,4,1682.0,7,1681.1000000000001,5,1682.4,8
54,1679.8000000000002,5,1680.1000000000001,21,1679.6000000000001,4,1680.3000000000002,8,1679.3000000000002,4,1680.6000000000001,9
55,1676.9,4,1677.2,4,1676.8000000000002,4,1677.3,13,1676.7,4,1677.4,18
56,1675.9,4,1676.3000000000002,8,1675.6000000000001,4,1676.6000000000001,5,1675.4,4,1676.8000000000002,10
57,1683.2,4,1683.6000000000001,11,1683.1000000000001,4,1683.7,11,1682.8,4,1684.0000000000002,10
58,1677.8000000000002,5,1678.2,26,1677.6000000000001,4,1678.4,16,1677.6000000000001,4,1678.4,4
59,1677.4,4,1677.7,18,1677.1000000000001,4,1678.0,16,1677.1000000000001,4,1678.0,4
60,1673.9,4,1674.3000000000002,4,1673.7,4,1674.5000000000002,5,1673.5,5,1674.7000000000003,12
61,1672.1000000000001,7,1672.5,5,1672.0000000000002,9,1672.6,6,1671.6000000000001,12,1673.0,9
62,1673.1000000000001,25,1673.4,16,1672.8000000000002,4,1673.7,4,1672.8000000000002,4,1673.7,4
63,1669.9,12,1670.3000000000002,9,1669.7,5,1670.5000000000002,4,1669.5,13,1670.7000000000003,11
64,1667.6000000000001,14,1667.9,13,1667.3000000000002,6,1668.2,5,1667.3000000000002,5,1668.2,5
65,1665.8000000000002,4,1666.1000000000001,7,1665.6000000000001,4,1666.3000000000002,8,1665.6000000000001,4,1666.3000000000002,5
66,1669.2,4,1669.6000000000001,6,1668.9,6,1669.9,16,1668.9,4,1669.9,4
