,t,side,price,qty
0,0.0,ask,1647.3000000000002,6.0
1,0.0,ask,1647.4,4.0
2,0.0,ask,1647.7000000000003,1.0
3,1.0,ask,1644.7,5.0
4,1.0,ask,1645.0,4.0
5,2.0,ask,1643.5,11.0
6,2.0,ask,1643.8,20.0
7,3.0,ask,1643.6000000000001,5.0
8,3.0,ask,1643.8000000000002,1.0
9,4.0,ask,1646.2,28.0
10,5.0,ask,1646.9,16.0
11,5.0,ask,1647.1000000000001,5.0
12,6.0,bid,1645.4,3.0
13,7.0,ask,1643.4,8.0
14,7.0,ask,1643.7,11.0
15,7.0,ask,1644.0,8.0
16,8.0,ask,1643.1000000000001,12.0
17,8.0,ask,1643.2,10.0
18,8.0,ask,1643.6000000000001,16.0
19,9.0,ask,1642.1000000000001,11.0
20,9.0,ask,1642.2,12.0
21,9.0,ask,1642.5000000000002,9.0
22,10.0,bid,1641.8000000000002,2.0
23,10.0,bid,1642.1000000000001,4.0
24,11.0,ask,1643.5,1.0
25,12.0,bid,1644.0,1.0
26,13.0,ask,1643.1000000000001,4.0
27,13.0,ask,1643.4,11.0
28,14.0,ask,1641.6000000000001,15.0
29,14.0,ask,1641.7,2.0
30,15.0,bid,1648.4,1.0
31,16.0,bid,1656.7,20.0
32,17.0,bid,1654.1000000000001,21.0
33,17.0,bid,1654.3000000000002,16.0
34,17.0,bid,1654.6000000000001,5.0
35,18.0,bid,1652.8000000000002,16.0
36,18.0,bid,1653.0000000000002,34.0
37,18.0,bid,1653.1000000000001,12.0
38,19.0,bid,1655.6000000000001,4.0
39,19.0,bid,1655.8000000000002,10.0
40,19.0,bid,1655.9,30.0
41,20.0,bid,1665.3000000000002,3.0
42,20.0,bid,1665.4,9.0
43,21.0,bid,1662.2,2.0
44,21.0,bid,1662.5,14.0
45,22.0,ask,1657.4,4.0
46,22.0,ask,1657.5,6.0
47,22.0,ask,1657.7,2.0
48,23.0,bid,1657.5,20.0
49,24.0,bid,1660.9,7.0
50,24.0,bid,1661.0,22.0
51,25.0,bid,1662.8000000000002,15.0
52,26.0,bid,1656.5,4.0
53,27.0,bid,1653.0,10.0
54,27.0,bid,1653.3,5.0
55,27.0,bid,1653.5,11.0
56,28.0,bid,1650.9,11.0
57,28.0,bid,1651.0,11.0
58,29.0,bid,1652.4,7.0
59,29.0,bid,1652.6000000000001,4.0
60,30.0,ask,1655.9,1.0
61,31.0,bid,1654.2000000000003,6.0
62,31.0,bid,1654.3000000000002,5.0
63,32.0,bid,1652.5,14.0
64,33.0,ask,1653.1000000000001,4.0
65,34.0,bid,1653.6000000000001,2.0
66,34.0,bid,1653.9,22.0
67,35.0,ask,1655.4,4.0
68,35.0,ask,1655.7,1.0
69,36.0,ask,1656.4,13.0
70,36.0,ask,1656.6000000000001,2.0
71,37.0,bid,1659.4,20.0
72,37.0,bid,1659.5,10.0
73,38.0,bid,1661.5,8.0
74,39.0,bid,1663.6000000000001,10.0
75,39.0,bid,1663.7,8.0
76,40.0,bid,1661.3000000000002,12.0
77,40.0,bid,1661.4,5.0
78,41.0,ask,1662.3000000000002,5.0
79,41.0,ask,1662.6000000000001,2.0
80,42.0,bid,1661.1,23.0
81,42.0,bid,1661.3,13.0
82,42.0,bid,1661.5,12.0
83,43.0,bid,1660.5,1.0
84,43.0,bid,1660.6000000000001,9.0
85,43.0,bid,1660.7,8.0
86,44.0,bid,1656.3000000000002,8.0
87,44.0,bid,1656.6000000000001,9.0
88,45.0,bid,1658.0,19.0
89,46.0,ask,1660.5,1.0
90,47.0,ask,1677.2,23.0
91,48.0,ask,1674.9,11.0
92,48.0,ask,1675.0,10.0
93,48.0,ask,1675.4,7.0
94,49.0,bid,1673.0000000000002,27.0
95,49.0,bid,1673.3000000000002,12.0
96,50.0,ask,1671.3000000000002,2.0
97,51.0,bid,1681.8000000000002,11.0
98,51.0,bid,1682.0000000000002,17.0
99,51.0,bid,1682.1000000000001,5.0
100,52.0,bid,1680.0000000000002,4.0
101,52.0,bid,1680.5000000000002,21.0
102,52.0,bid,1680.6000000000001,9.0
103,53.0,ask,1681.9,7.0
104,53.0,ask,1682.0,7.0
105,53.0,ask,1682.4,8.0
106,54.0,bid,1679.8000000000002,1.0
107,55.0,ask,1677.2,4.0
108,55.0,ask,1677.3,13.0
109,55.0,ask,1677.4,18.0
110,56.0,ask,1676.3000000000002,8.0
111,56.0,ask,1676.6000000000001,5.0
112,57.0,ask,1683.6000000000001,11.0
113,57.0,ask,1683.7,1.0
114,58.0,ask,1678.2,18.0
115,59.0,bid,1677.4,3.0
116,60.0,ask,1674.3000000000002,2.0
117,61.0,bid,1672.0000000000002,6.0
118,61.0,bid,1672.1000000000001,7.0
119,62.0,ask,1673.4,8.0
120,63.0,bid,1669.5,13.0
121,63.0,bid,1669.7,5.0
122,63.0,bid,1669.9,12.0
123,64.0,bid,1667.6000000000001,1.0
124,65.0,bid,1665.6000000000001,5.0
125,65.0,bid,1665.8000000000002,4.0
126,66.0,ask,1669.6000000000001,6.0
127,66.0,ask,1669.9,3.0
128,67.0,ask,1671.8000000000002,17.0
129,67.0,ask,1672.0000000000002,7.0
130,67.0,ask,1672.2000000000003,9.0
131,68.0,ask,1671.9,7.0
132,68.0,ask,1672.2,10.0
133,69.0,bid,1671.6000000000001,6.0
134,70.0,ask,1669.0,4.0
135,70.0,ask,1669.2,1.0
136,71.0,ask,1666.9,8.0
137,71.0,ask,1667.0,6.0
138,72.0,bid,1664.2,3.0
139,72.0,bid,1664.3,4.0
140,72.0,bid,1664.5,4.0
141,73.0,bid,1660.9,11.0
142,73.0,bid,1661.2000000000003,4.0
143,73.0,bid,1661.3000000000002,4.0
144,74.0,ask,1664.4,5.0
145,74.0,ask,1664.5,11.0
146,75.0,bid,1665.5,2.0
