,bid_px1,bid_sz1,ask_px1,ask_sz1,bid_px2,bid_sz2,ask_px2,ask_sz2,bid_px3,bid_sz3,ask_px3,ask_sz3
0,2143.5,9,2143.9,5,2143.4,23,2144.0,12,2143.0,6,2144.4,4
1,2140.3,7,2140.7000000000003,7,2140.0,6,2141.0000000000005,6,2139.9,9,2141.1000000000004,9
2,2140.9,7,2141.3,19,2140.6,7,2141.6000000000004,19,2140.4,4,2141.8,4
3,2145.2000000000003,4,2145.6,20,2144.9,4,2145.9,11,2145.0000000000005,5,2145.7999999999997,24
4,2141.3,4,2141.6,5,2141.2000000000003,4,2141.7,19,2140.7000000000003,4,2142.2,13
5,2140.8,4,2141.2000000000003,20,2140.7000000000003,4,2141.3,11,2140.4,4,2141.6000000000004,9
6,2141.9,4,2142.2000000000003,17,2141.6,4,2142.5000000000005,47,2141.5,4,2142.6000000000004,15
7,2150.7000000000003,4,2151.1,17,2150.6000000000004,4,2151.2,13,2150.4,4,2151.4,15
8,2156.5,4,2156.9,9,2156.2,4,2157.2000000000003,31,2156.2,4,2157.2000000000003,4
9,2155.1,4,2155.4,10,2154.9,4,2155.6,16,2154.7,4,2155.8,10
10,2150.6,4,2151.0,16,2150.2999999999997,4,2151.3,8,2150.2,4,2151.4,13
11,2167.5,4,2167.9,21,2167.2,4,2168.2000000000003,24,2166.9,4,2168.5,10
12,2166.2000000000003,4,2166.6,25,2166.1000000000004,4,2166.7,21,2165.8,4,2167.0,9
13,2165.6,13,2166.0,34,2165.4,8,2166.2,20,2165.2999999999997,4,2166.3,8
14,2163.9,7,2164.2000000000003,14,2163.8,4,2164.3,4,2163.4,4,2164.7000000000003,7
15,2160.0,14,2160.3,17,2159.9,11,2160.4,13,2159.6,10,2160.7000000000003,12
16,2156.1,4,2156.5,4,2156.0,22,2156.6,19,2155.6,13,2157.0,11
17,2158.2000000000003,12,2158.5,7,2158.0000000000005,19,2158.7,11,2157.8,7,2158.9,4
18,2156.6,19,2156.9,4,2156.4,6,2157.1,4,2156.4,10,2157.1,4
19,2156.3,7,2156.6,5,2156.0,15,2156.9,10,2155.8,5,2157.1,4
20,2158.3,12,2158.6,5,2158.0,11,2158.9,5,2158.0,21,2158.9,10
21,2158.9,4,2159.2000000000003,4,2158.8,6,2159.3,4,2158.5,9,2159.6000000000004,4
22,2142.9,10,2143.3,5,2142.6,9,2143.6000000000004,4,2142.4,16,2143.8,7
23,2153.8,4,2154.2000000000003,4,2153.7000000000003,13,2154.3,4,2153.2000000000003,4,2154.8,4
24,2152.1,17,2152.5,10,2152.0,8,2152.6,5,2151.7999999999997,10,2152.8,6
25,2152.3,15,2152.6,16,2152.1000000000004,5,2152.7999999999997,6,2151.9,9,2153.0,9
26,2135.8,7,2136.1,4,2135.7000000000003,21,2136.2,9,2135.2000000000003,4,2136.7,4
27,2138.2000000000003,14,2138.5,8,2137.9,11,2138.8,6,2137.7000000000003,4,2139.0,4
