,t,side,price,qty
0,0.0,ask,3636.5,4.0
1,1.0,ask,3621.1000000000004,4.0
2,1.0,ask,3621.4000000000005,1.0
3,2.0,bid,3629.4000000000005,2.0
4,2.0,bid,3629.6000000000004,15.0
5,3.0,bid,3613.5,8.0
6,4.0,bid,3598.2000000000003,9.0
7,5.0,ask,3631.1000000000004,2.0
8,6.0,ask,3627.3,4.0
9,6.0,ask,3627.5,5.0
10,7.0,ask,3586.0,7.0
11,7.0,ask,3586.2,4.0
12,7.0,ask,3586.3,15.0
13,8.0,ask,3547.2000000000003,1.0
14,9.0,ask,3539.4,24.0
15,9.0,ask,3539.7000000000003,28.0
16,9.0,ask,3539.8,4.0
17,10.0,ask,3568.5,7.0
18,10.0,ask,3568.6,2.0
19,11.0,ask,3560.4,11.0
20,11.0,ask,3560.7000000000003,17.0
21,12.0,ask,3565.2000000000003,31.0
22,13.0,ask,3554.6000000000004,12.0
23,14.0,ask,3551.8,19.0
24,15.0,bid,3541.4,4.0
25,15.0,bid,3541.6,4.0
26,15.0,bid,3541.9,4.0
27,16.0,bid,3575.9000000000005,4.0
28,16.0,bid,3576.1000000000004,4.0
29,17.0,ask,3569.9,39.0
30,17.0,ask,3570.2000000000003,14.0
31,17.0,ask,3570.4,5.0
32,18.0,ask,3567.3,5.0
33,18.0,ask,3567.6000000000004,4.0
34,18.0,ask,3567.7000000000003,4.0
35,19.0,ask,3583.9,12.0
36,20.0,bid,3580.2000000000003,10.0
37,21.0,ask,3589.9,9.0
38,21.0,ask,3590.0,6.0
39,22.0,ask,3576.1000000000004,5.0
40,22.0,ask,3576.2000000000003,13.0
41,22.0,ask,3576.4000000000005,7.0
42,23.0,ask,3572.0,19.0
43,24.0,ask,3544.7000000000003,19.0
44,25.0,ask,3542.9,10.0
45,25.0,ask,3543.1,10.0
46,26.0,ask,3574.7000000000003,7.0
47,26.0,ask,3575.0000000000005,20.0
48,27.0,ask,3487.5,4.0
49,27.0,ask,3487.7,3.0
50,28.0,bid,3483.2000000000003,1.0
51,28.0,bid,3483.3,19.0
52,29.0,ask,3525.6000000000004,11.0
